07.12.2021;1234;7;12;4;0;0:0:0
0000FF/0,0,0|00FF00/1,0,0|FF0000/2,0,0|FF00FF/3,0,0|FFFF00/4,0,0|0000FF/5,0,0|00FF00/6,0,0|FF0000/7,0,0
0000FF/0,1,0|00FF00/1,1,0|FF0000/2,1,0|FF00FF/3,1,0|FFFF00/4,1,0|0000FF/5,1,0|00FF00/6,1,0|FF0000/7,1,0
0000FF/0,2,0|00FF00/1,2,0|FF0000/2,2,0|FF00FF/3,2,0|FFFF00/4,2,0|0000FF/5,2,0|00FF00/6,2,0|FF0000/7,2,0
0000FF/0,3,0|00FF00/1,3,0|FF0000/2,3,0|FF00FF/3,3,0|FFFF00/4,3,0|0000FF/5,3,0|00FF00/6,3,0|FF0000/7,3,0
0000FF/0,4,0|00FF00/1,4,0|FF0000/2,4,0|FF00FF/3,4,0|FFFF00/4,4,0|0000FF/5,4,0|00FF00/6,4,0|FF0000/7,4,0
0000FF/0,5,0|00FF00/1,5,0|FF0000/2,5,0|FF00FF/3,5,0|FFFF00/4,5,0|0000FF/5,5,0|00FF00/6,5,0|FF0000/7,5,0
0000FF/0,6,0|00FF00/1,6,0|FF0000/2,6,0|FF00FF/3,6,0|FFFF00/4,6,0|0000FF/5,6,0|00FF00/6,6,0|FF0000/7,6,0
0000FF/0,7,0|00FF00/1,7,0|FF0000/2,7,0|FF00FF/3,7,0|FFFF00/4,7,0|0000FF/5,7,0|00FF00/6,7,0|FF0000/7,7,0
0000FF/0,8,0|00FF00/1,8,0|FF0000/2,8,0|FF00FF/3,8,0|FFFF00/4,8,0|0000FF/5,8,0|00FF00/6,8,0|FF0000/7,8,0
0000FF/0,9,0|00FF00/1,9,0|FF0000/2,9,0|FF00FF/3,9,0|FFFF00/4,9,0|0000FF/5,9,0|00FF00/6,9,0|FF0000/7,9,0
0000FF/0,10,0|00FF00/1,10,0|FF0000/2,10,0|FF00FF/3,10,0|FFFF00/4,10,0|0000FF/5,10,0|00FF00/6,10,0|FF0000/7,10,0
0000FF/0,11,0|00FF00/1,11,0|FF0000/2,11,0|FF00FF/3,11,0|FFFF00/4,11,0|0000FF/5,11,0|00FF00/6,11,0|FF0000/7,11,0
00FFFF/0,0,1|0000FF/1,0,1|00FF00/2,0,1|FF0000/3,0,1|FF00FF/4,0,1|FFFF00/5,0,1|0000FF/6,0,1|00FF00/7,0,1
00FFFF/0,1,1|0000FF/1,1,1|00FF00/2,1,1|FF0000/3,1,1|FF00FF/4,1,1|FFFF00/5,1,1|0000FF/6,1,1|00FF00/7,1,1
00FFFF/0,2,1|0000FF/1,2,1|00FF00/2,2,1|FF0000/3,2,1|FF00FF/4,2,1|FFFF00/5,2,1|0000FF/6,2,1|00FF00/7,2,1
00FFFF/0,3,1|0000FF/1,3,1|00FF00/2,3,1|FF0000/3,3,1|FF00FF/4,3,1|FFFF00/5,3,1|0000FF/6,3,1|00FF00/7,3,1
00FFFF/0,4,1|0000FF/1,4,1|00FF00/2,4,1|FF0000/3,4,1|FF00FF/4,4,1|FFFF00/5,4,1|0000FF/6,4,1|00FF00/7,4,1
00FFFF/0,5,1|0000FF/1,5,1|00FF00/2,5,1|FF0000/3,5,1|FF00FF/4,5,1|FFFF00/5,5,1|0000FF/6,5,1|00FF00/7,5,1
00FFFF/0,6,1|0000FF/1,6,1|00FF00/2,6,1|FF0000/3,6,1|FF00FF/4,6,1|FFFF00/5,6,1|0000FF/6,6,1|00FF00/7,6,1
00FFFF/0,7,1|0000FF/1,7,1|00FF00/2,7,1|FF0000/3,7,1|FF00FF/4,7,1|FFFF00/5,7,1|0000FF/6,7,1|00FF00/7,7,1
00FFFF/0,8,1|0000FF/1,8,1|00FF00/2,8,1|FF0000/3,8,1|FF00FF/4,8,1|FFFF00/5,8,1|0000FF/6,8,1|00FF00/7,8,1
00FFFF/0,9,1|0000FF/1,9,1|00FF00/2,9,1|FF0000/3,9,1|FF00FF/4,9,1|FFFF00/5,9,1|0000FF/6,9,1|00FF00/7,9,1
00FFFF/0,10,1|0000FF/1,10,1|00FF00/2,10,1|FF0000/3,10,1|FF00FF/4,10,1|FFFF00/5,10,1|0000FF/6,10,1|00FF00/7,10,1
00FFFF/0,11,1|0000FF/1,11,1|00FF00/2,11,1|FF0000/3,11,1|FF00FF/4,11,1|FFFF00/5,11,1|0000FF/6,11,1|00FF00/7,11,1
0000FF/0,0,2|00FFFF/1,0,2|0000FF/2,0,2|00FF00/3,0,2|FF0000/4,0,2|FF00FF/5,0,2|FFFF00/6,0,2|0000FF/7,0,2
0000FF/0,1,2|00FFFF/1,1,2|0000FF/2,1,2|00FF00/3,1,2|FF0000/4,1,2|FF00FF/5,1,2|FFFF00/6,1,2|0000FF/7,1,2
0000FF/0,2,2|00FFFF/1,2,2|0000FF/2,2,2|00FF00/3,2,2|FF0000/4,2,2|FF00FF/5,2,2|FFFF00/6,2,2|0000FF/7,2,2
0000FF/0,3,2|00FFFF/1,3,2|0000FF/2,3,2|00FF00/3,3,2|FF0000/4,3,2|FF00FF/5,3,2|FFFF00/6,3,2|0000FF/7,3,2
0000FF/0,4,2|00FFFF/1,4,2|0000FF/2,4,2|00FF00/3,4,2|FF0000/4,4,2|FF00FF/5,4,2|FFFF00/6,4,2|0000FF/7,4,2
0000FF/0,5,2|00FFFF/1,5,2|0000FF/2,5,2|00FF00/3,5,2|FF0000/4,5,2|FF00FF/5,5,2|FFFF00/6,5,2|0000FF/7,5,2
0000FF/0,6,2|00FFFF/1,6,2|0000FF/2,6,2|00FF00/3,6,2|FF0000/4,6,2|FF00FF/5,6,2|FFFF00/6,6,2|0000FF/7,6,2
0000FF/0,7,2|00FFFF/1,7,2|0000FF/2,7,2|00FF00/3,7,2|FF0000/4,7,2|FF00FF/5,7,2|FFFF00/6,7,2|0000FF/7,7,2
0000FF/0,8,2|00FFFF/1,8,2|0000FF/2,8,2|00FF00/3,8,2|FF0000/4,8,2|FF00FF/5,8,2|FFFF00/6,8,2|0000FF/7,8,2
0000FF/0,9,2|00FFFF/1,9,2|0000FF/2,9,2|00FF00/3,9,2|FF0000/4,9,2|FF00FF/5,9,2|FFFF00/6,9,2|0000FF/7,9,2
0000FF/0,10,2|00FFFF/1,10,2|0000FF/2,10,2|00FF00/3,10,2|FF0000/4,10,2|FF00FF/5,10,2|FFFF00/6,10,2|0000FF/7,10,2
0000FF/0,11,2|00FFFF/1,11,2|0000FF/2,11,2|00FF00/3,11,2|FF0000/4,11,2|FF00FF/5,11,2|FFFF00/6,11,2|0000FF/7,11,2
00FF00/0,0,3|0000FF/1,0,3|00FFFF/2,0,3|0000FF/3,0,3|00FF00/4,0,3|FF0000/5,0,3|FF00FF/6,0,3|FFFF00/7,0,3
00FF00/0,1,3|0000FF/1,1,3|00FFFF/2,1,3|0000FF/3,1,3|00FF00/4,1,3|FF0000/5,1,3|FF00FF/6,1,3|FFFF00/7,1,3
00FF00/0,2,3|0000FF/1,2,3|00FFFF/2,2,3|0000FF/3,2,3|00FF00/4,2,3|FF0000/5,2,3|FF00FF/6,2,3|FFFF00/7,2,3
00FF00/0,3,3|0000FF/1,3,3|00FFFF/2,3,3|0000FF/3,3,3|00FF00/4,3,3|FF0000/5,3,3|FF00FF/6,3,3|FFFF00/7,3,3
00FF00/0,4,3|0000FF/1,4,3|00FFFF/2,4,3|0000FF/3,4,3|00FF00/4,4,3|FF0000/5,4,3|FF00FF/6,4,3|FFFF00/7,4,3
00FF00/0,5,3|0000FF/1,5,3|00FFFF/2,5,3|0000FF/3,5,3|00FF00/4,5,3|FF0000/5,5,3|FF00FF/6,5,3|FFFF00/7,5,3
00FF00/0,6,3|0000FF/1,6,3|00FFFF/2,6,3|0000FF/3,6,3|00FF00/4,6,3|FF0000/5,6,3|FF00FF/6,6,3|FFFF00/7,6,3
00FF00/0,7,3|0000FF/1,7,3|00FFFF/2,7,3|0000FF/3,7,3|00FF00/4,7,3|FF0000/5,7,3|FF00FF/6,7,3|FFFF00/7,7,3
00FF00/0,8,3|0000FF/1,8,3|00FFFF/2,8,3|0000FF/3,8,3|00FF00/4,8,3|FF0000/5,8,3|FF00FF/6,8,3|FFFF00/7,8,3
00FF00/0,9,3|0000FF/1,9,3|00FFFF/2,9,3|0000FF/3,9,3|00FF00/4,9,3|FF0000/5,9,3|FF00FF/6,9,3|FFFF00/7,9,3
00FF00/0,10,3|0000FF/1,10,3|00FFFF/2,10,3|0000FF/3,10,3|00FF00/4,10,3|FF0000/5,10,3|FF00FF/6,10,3|FFFF00/7,10,3
00FF00/0,11,3|0000FF/1,11,3|00FFFF/2,11,3|0000FF/3,11,3|00FF00/4,11,3|FF0000/5,11,3|FF00FF/6,11,3|FFFF00/7,11,3
